quality_check_id,production_id,inspection_date,inspector_id,units_inspected,defective_units,defect_type,result
QC-00000001,PROD-00118901,2024-11-17,EMP-00108,728,27,Surface,Passed
QC-00000002,PROD-00029932,2025-06-08,EMP-00159,2234,97,Material,Passed
QC-00000003,PROD-00083836,2025-12-30,EMP-00498,859,10,Dimensional,Passed
QC-00000004,PROD-00145582,2025-11-29,EMP-00468,2612,55,None,Passed
QC-00000005,PROD-00043666,2025-10-21,EMP-00444,2581,40,None,Passed
QC-00000006,PROD-00189738,2026-07-09,EMP-00201,1407,133,None,Failed
QC-00000007,PROD-00204550,2026-02-13,EMP-00202,2033,135,None,Failed
QC-00000008,PROD-00168155,2024-11-24,EMP-00275,2391,192,Material,Failed
QC-00000009,PROD-00056153,2024-12-18,EMP-00392,508,13,Assembly,Passed
QC-00000010,PROD-00139707,2026-01-10,EMP-00077,1264,112,Surface,Failed
QC-00000011,PROD-00238069,2026-05-28,EMP-00251,559,55,Dimensional,Failed
QC-00000012,PROD-00133836,2025-04-09,EMP-00269,565,24,Assembly,Passed
QC-00000013,PROD-00270519,2026-03-23,EMP-00478,588,22,Dimensional,Passed
QC-00000014,PROD-00101675,2026-04-10,EMP-00452,604,54,Material,Failed
QC-00000015,PROD-00070408,2024-10-12,EMP-00225,1510,58,None,Passed
QC-00000016,PROD-00261406,2024-11-03,EMP-00124,1109,23,None,Passed
QC-00000017,PROD-00091002,2025-04-30,EMP-00244,751,20,Material,Passed
QC-00000018,PROD-00007573,2025-09-25,EMP-00403,1715,108,Dimensional,Failed
QC-00000019,PROD-00285886,2024-12-26,EMP-00092,2902,198,Surface,Failed
QC-00000020,PROD-00172061,2026-05-05,EMP-00343,2659,39,Dimensional,Passed
QC-00000021,PROD-00109430,2024-11-01,EMP-00079,1013,91,None,Failed
QC-00000022,PROD-00245296,2026-06-03,EMP-00321,686,67,Surface,Failed
QC-00000023,PROD-00206309,2025-01-23,EMP-00206,1110,52,Material,Passed
QC-00000024,PROD-00108301,2026-02-21,EMP-00358,2089,77,Surface,Passed
QC-00000025,PROD-00242958,2025-01-20,EMP-00021,944,39,Dimensional,Passed
QC-00000026,PROD-00276405,2024-09-27,EMP-00027,2186,4,Material,Passed
QC-00000027,PROD-00136635,2026-01-17,EMP-00131,885,67,Surface,Failed
QC-00000028,PROD-00296708,2025-08-23,EMP-00387,1706,60,None,Passed
QC-00000029,PROD-00081484,2026-07-21,EMP-00461,1318,99,Surface,Failed
QC-00000030,PROD-00038074,2025-04-04,EMP-00469,1867,177,Surface,Failed
QC-00000031,PROD-00113202,2025-12-26,EMP-00357,2176,121,Assembly,Failed
QC-00000032,PROD-00259241,2025-10-14,EMP-00221,744,62,Material,Failed
QC-00000033,PROD-00002973,2025-02-02,EMP-00190,1674,109,Assembly,Failed
QC-00000034,PROD-00205464,2026-07-01,EMP-00013,1142,20,None,Passed
QC-00000035,PROD-00184515,2025-08-08,EMP-00219,1122,89,Dimensional,Failed
QC-00000036,PROD-00245495,2025-12-26,EMP-00358,2913,57,Surface,Passed
QC-00000037,PROD-00155767,2025-10-01,EMP-00296,2399,169,Assembly,Failed
QC-00000038,PROD-00289834,2025-04-18,EMP-00197,1767,72,Assembly,Passed
QC-00000039,PROD-00268293,2025-11-15,EMP-00469,894,1,Material,Passed
QC-00000040,PROD-00286192,2026-07-15,EMP-00498,887,67,Material,Failed
QC-00000041,PROD-00087612,2025-11-11,EMP-00007,2739,111,None,Passed
QC-00000042,PROD-00294015,2025-07-30,EMP-00322,2120,134,Material,Failed
QC-00000043,PROD-00169619,2024-12-24,EMP-00215,2982,87,Material,Passed
QC-00000044,PROD-00015395,2026-07-29,EMP-00322,2907,39,Dimensional,Passed
QC-00000045,PROD-00025094,2025-12-23,EMP-00040,1879,142,None,Failed
QC-00000046,PROD-00015814,2025-07-08,EMP-00147,1116,33,None,Passed
QC-00000047,PROD-00295002,2025-11-17,EMP-00061,2233,99,None,Passed
QC-00000048,PROD-00059835,2025-07-20,EMP-00322,2263,82,None,Passed
QC-00000049,PROD-00230590,2025-12-28,EMP-00449,2959,141,Dimensional,Passed
