production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2026-01-03,BATCH-00000001,PRD-002,LINE-05,M-003,EMP-00303,Afternoon,602,540,526,14,70,316,17890.15,3332.44,7666.01,Passed,True
PROD-00000002,2024-11-19,BATCH-00000002,PRD-004,LINE-04,M-008,EMP-00230,Night,1452,1298,1292,6,129,442,268751.58,11308.25,7311.92,Passed,False
PROD-00000003,2024-09-13,BATCH-00000003,PRD-001,LINE-01,M-003,EMP-00195,Morning,1153,1045,1002,43,178,483,48766.25,4799.08,7871.45,Passed,False
PROD-00000004,2026-03-23,BATCH-00000004,PRD-010,LINE-05,M-010,EMP-00425,Night,1583,1397,1280,117,11,485,87791.16,14650.5,4406.81,Failed,False
PROD-00000005,2025-03-26,BATCH-00000005,PRD-002,LINE-01,M-013,EMP-00143,Afternoon,687,629,580,49,169,486,21291.21,3037.3,3095.12,Failed,False
PROD-00000006,2025-03-03,BATCH-00000006,PRD-006,LINE-02,M-015,EMP-00195,Afternoon,1358,1290,1272,18,171,585,150040.73,4224.8,7562.14,Passed,False
PROD-00000007,2025-02-14,BATCH-00000007,PRD-006,LINE-05,M-011,EMP-00109,Night,729,519,517,2,58,555,66047.93,7215.14,1595.7,Passed,False
PROD-00000008,2024-12-11,BATCH-00000008,PRD-008,LINE-04,M-019,EMP-00205,Afternoon,1085,1050,1019,31,67,412,203391.5,9006.7,7723.12,Passed,False
PROD-00000009,2026-03-20,BATCH-00000009,PRD-003,LINE-04,M-020,EMP-00033,Afternoon,2587,2564,2540,24,126,495,1127474.24,3986.94,2439.84,Passed,False
PROD-00000010,2024-11-12,BATCH-00000010,PRD-008,LINE-05,M-009,EMP-00394,Night,2667,2419,2278,141,64,474,475788.49,2149.25,7486.5,Failed,True
PROD-00000011,2026-02-01,BATCH-00000011,PRD-007,LINE-02,M-017,EMP-00468,Morning,1147,1147,1055,92,116,452,99729.89,5424.06,5505.28,Failed,False
PROD-00000012,2026-03-23,BATCH-00000012,PRD-009,LINE-05,M-001,EMP-00307,Afternoon,2994,2955,2764,191,50,550,972241.18,9011.93,8007.64,Failed,True
PROD-00000013,2026-07-18,BATCH-00000013,PRD-006,LINE-04,M-003,EMP-00390,Night,1759,1745,1684,61,61,364,221278.41,14310.34,1770.88,Passed,True
PROD-00000014,2025-10-22,BATCH-00000014,PRD-008,LINE-02,M-010,EMP-00205,Night,2751,2684,2468,216,42,491,535923.81,14075.88,7797.39,Failed,False
PROD-00000015,2024-10-31,BATCH-00000015,PRD-009,LINE-05,M-008,EMP-00004,Morning,2349,2286,2229,57,30,330,566084.92,2273.45,5985.29,Passed,False
