quality_check_id,production_id,inspection_date,inspector_id,units_inspected,defective_units,defect_type,result
QC-00000001,PROD-00006026,2026-07-10,EMP-00476,2253,38,Material,Passed
QC-00000002,PROD-00215696,2024-09-27,EMP-00295,1685,38,Surface,Passed
QC-00000003,PROD-00018331,2026-01-04,EMP-00214,1753,80,Material,Passed
QC-00000004,PROD-00066229,2025-04-03,EMP-00179,617,22,Surface,Passed
QC-00000005,PROD-00013728,2025-04-02,EMP-00069,2203,92,Surface,Passed
QC-00000006,PROD-00156132,2024-09-30,EMP-00372,1430,140,Material,Failed
QC-00000007,PROD-00183745,2026-01-25,EMP-00055,1930,167,Dimensional,Failed
QC-00000008,PROD-00239142,2026-05-29,EMP-00323,2127,209,Assembly,Failed
QC-00000009,PROD-00038762,2025-06-16,EMP-00421,2573,235,Surface,Failed
QC-00000010,PROD-00055211,2024-10-14,EMP-00200,723,40,Dimensional,Failed
QC-00000011,PROD-00252115,2026-02-09,EMP-00297,2747,3,None,Passed
QC-00000012,PROD-00187289,2026-07-02,EMP-00218,2712,24,Dimensional,Passed
QC-00000013,PROD-00033740,2025-07-22,EMP-00415,2332,78,Dimensional,Passed
QC-00000014,PROD-00171360,2025-11-25,EMP-00233,2727,5,None,Passed
QC-00000015,PROD-00051348,2026-02-20,EMP-00170,2978,258,Dimensional,Failed
QC-00000016,PROD-00201440,2026-06-05,EMP-00407,1412,19,Material,Passed
QC-00000017,PROD-00075264,2025-10-25,EMP-00006,1850,88,None,Passed
QC-00000018,PROD-00247616,2024-12-02,EMP-00040,2468,242,None,Failed
QC-00000019,PROD-00202733,2025-01-16,EMP-00177,2915,178,None,Failed
QC-00000020,PROD-00159584,2025-06-28,EMP-00469,683,62,Dimensional,Failed
QC-00000021,PROD-00277684,2025-07-22,EMP-00383,2678,110,None,Passed
QC-00000022,PROD-00206455,2025-03-26,EMP-00458,1815,74,None,Passed
QC-00000023,PROD-00125378,2025-12-11,EMP-00410,1658,93,None,Failed
QC-00000024,PROD-00006236,2025-05-01,EMP-00022,2273,65,None,Passed
QC-00000025,PROD-00038254,2025-07-05,EMP-00445,1105,94,Material,Failed
QC-00000026,PROD-00219917,2026-03-20,EMP-00393,610,53,Dimensional,Failed
QC-00000027,PROD-00061701,2025-09-03,EMP-00008,750,34,Material,Passed
QC-00000028,PROD-00266788,2025-01-02,EMP-00257,719,23,Material,Passed
QC-00000029,PROD-00236505,2024-11-06,EMP-00149,2564,240,Material,Failed
QC-00000030,PROD-00156527,2026-07-18,EMP-00331,932,7,Surface,Passed
QC-00000031,PROD-00177271,2025-06-21,EMP-00373,2400,60,None,Passed
QC-00000032,PROD-00133343,2026-03-26,EMP-00379,637,16,Assembly,Passed
QC-00000033,PROD-00218671,2026-02-22,EMP-00243,2978,71,None,Passed
QC-00000034,PROD-00270010,2025-12-11,EMP-00350,1979,148,Surface,Failed
QC-00000035,PROD-00153557,2025-03-27,EMP-00137,3000,120,None,Passed
QC-00000036,PROD-00040501,2026-01-30,EMP-00191,793,3,Material,Passed
QC-00000037,PROD-00208259,2025-03-24,EMP-00343,2593,2,Assembly,Passed
QC-00000038,PROD-00079343,2024-09-03,EMP-00385,2080,11,Assembly,Passed
QC-00000039,PROD-00224619,2026-07-25,EMP-00451,2349,210,None,Failed
QC-00000040,PROD-00015632,2025-07-26,EMP-00290,2530,160,Dimensional,Failed
QC-00000041,PROD-00004838,2026-01-04,EMP-00474,2828,187,None,Failed
QC-00000042,PROD-00124528,2025-12-29,EMP-00418,983,90,Material,Failed
QC-00000043,PROD-00026703,2025-10-26,EMP-00260,577,23,Material,Passed
QC-00000044,PROD-00203170,2025-07-11,EMP-00314,830,60,Material,Failed
QC-00000045,PROD-00184970,2025-03-18,EMP-00143,1625,153,Assembly,Failed
QC-00000046,PROD-00063868,2025-10-01,EMP-00228,2832,38,Surface,Passed
QC-00000047,PROD-00268463,2025-03-30,EMP-00018,875,79,Dimensional,Failed
QC-00000048,PROD-00147506,2025-09-02,EMP-00128,2731,169,Material,Failed
QC-00000049,PROD-00060425,2026-01-17,EMP-00130,613,49,Dimensional,Failed
QC-00000050,PROD-00219330,2025-11-11,EMP-00243,1369,131,None,Failed
QC-00000051,PROD-00044731,2024-10-13,EMP-00148,2690,251,Dimensional,Failed
QC-00000052,PROD-00152007,2024-10-02,EMP-00363,1747,50,Material,Passed
QC-00000053,PROD-00143615,2024-09-26,EMP-00410,1733,14,Assembly,Passed
QC-00000054,PROD-00191794,2026-08-19,EMP-00422,2657,217,Surface,Failed
QC-00000055,PROD-00234466,2026-05-19,EMP-00226,2214,114,Surface,Failed
QC-00000056,PROD-00112281,2025-01-23,EMP-00120,1572,43,None,Passed
QC-00000057,PROD-00040655,2026-03-13,EMP-00291,1957,6,Assembly,Passed
QC-00000058,PROD-00083819,2026-03-06,EMP-00347,1268,94,Dimensional,Failed
QC-00000059,PROD-00163077,2024-11-16,EMP-00499,2731,251,Assembly,Failed
QC-00000060,PROD-00002847,2026-07-31,EMP-00468,2360,178,Dimensional,Failed
QC-00000061,PROD-00256884,2024-11-17,EMP-00380,2356,233,Dimensional,Failed
QC-00000062,PROD-00270402,2026-06-16,EMP-00003,966,30,Material,Passed
QC-00000063,PROD-00289023,2024-10-30,EMP-00092,764,74,Surface,Failed
QC-00000064,PROD-00221300,2025-06-08,EMP-00458,1214,84,Dimensional,Failed
QC-00000065,PROD-00113749,2025-10-17,EMP-00305,1634,10,Assembly,Passed
QC-00000066,PROD-00222666,2025-07-21,EMP-00073,741,24,None,Passed
QC-00000067,PROD-00149622,2026-02-28,EMP-00169,1780,60,Dimensional,Passed
QC-00000068,PROD-00115403,2025-06-18,EMP-00204,1657,139,Dimensional,Failed
QC-00000069,PROD-00197484,2025-05-05,EMP-00382,2459,127,Surface,Failed
QC-00000070,PROD-00037791,2025-12-02,EMP-00291,1761,22,Surface,Passed
QC-00000071,PROD-00009942,2025-11-26,EMP-00277,2612,218,Assembly,Failed
QC-00000072,PROD-00123916,2025-10-14,EMP-00068,1197,51,Assembly,Passed
QC-00000073,PROD-00078444,2026-07-24,EMP-00391,776,16,Dimensional,Passed
QC-00000074,PROD-00269964,2025-03-23,EMP-00260,860,59,None,Failed
QC-00000075,PROD-00180091,2025-06-22,EMP-00322,1316,42,None,Passed
QC-00000076,PROD-00182788,2025-10-05,EMP-00013,519,7,Dimensional,Passed
QC-00000077,PROD-00085076,2026-04-20,EMP-00316,1825,14,None,Passed
QC-00000078,PROD-00040318,2025-04-27,EMP-00219,2447,85,Surface,Passed
QC-00000079,PROD-00070949,2025-06-25,EMP-00172,676,21,Material,Passed
QC-00000080,PROD-00124683,2025-11-01,EMP-00390,2606,244,None,Failed
QC-00000081,PROD-00208755,2025-10-01,EMP-00476,2391,180,Dimensional,Failed
QC-00000082,PROD-00262794,2025-04-14,EMP-00324,2849,192,None,Failed
QC-00000083,PROD-00006939,2024-12-28,EMP-00185,1204,107,Assembly,Failed
QC-00000084,PROD-00275467,2026-06-24,EMP-00470,2441,176,Assembly,Failed
QC-00000085,PROD-00200128,2026-07-05,EMP-00159,2227,41,Dimensional,Passed
QC-00000086,PROD-00036412,2025-04-27,EMP-00113,2717,230,Material,Failed
QC-00000087,PROD-00276023,2026-04-30,EMP-00497,2252,118,Material,Failed
QC-00000088,PROD-00138519,2025-01-30,EMP-00478,2866,261,Surface,Failed
QC-00000089,PROD-00117270,2026-01-18,EMP-00338,2797,130,Assembly,Passed
QC-00000090,PROD-00248227,2024-12-22,EMP-00413,2120,179,None,Failed
QC-00000091,PROD-00272949,2025-04-15,EMP-00150,2857,117,None,Passed
QC-00000092,PROD-00163135,2026-01-28,EMP-00386,1045,98,Assembly,Failed
QC-00000093,PROD-00274973,2025-09-21,EMP-00495,1067,74,None,Failed
QC-00000094,PROD-00093981,2026-08-12,EMP-00263,1008,14,Material,Passed
QC-00000095,PROD-00267805,2025-07-19,EMP-00335,1570,21,Surface,Passed
QC-00000096,PROD-00205263,2024-11-28,EMP-00085,1917,160,Surface,Failed
QC-00000097,PROD-00032364,2024-12-08,EMP-00499,508,38,Material,Failed
QC-00000098,PROD-00196964,2025-01-06,EMP-00315,2193,74,Assembly,Passed
QC-00000099,PROD-00163768,2026-04-24,EMP-00351,549,35,Surface,Failed
QC-00000100,PROD-00097659,2026-01-10,EMP-00070,2395,31,Assembly,Passed
QC-00000101,PROD-00132729,2024-08-27,EMP-00413,2353,201,Dimensional,Failed
QC-00000102,PROD-00086236,2025-05-18,EMP-00496,2114,15,Surface,Passed
QC-00000103,PROD-00183069,2026-02-18,EMP-00457,1916,165,Material,Failed
QC-00000104,PROD-00150703,2026-01-25,EMP-00289,2268,84,Dimensional,Passed
QC-00000105,PROD-00104194,2024-11-23,EMP-00096,521,31,Surface,Failed
QC-00000106,PROD-00180252,2024-11-06,EMP-00125,983,57,Material,Failed
QC-00000107,PROD-00190083,2026-01-15,EMP-00087,596,17,Surface,Passed
QC-00000108,PROD-00046814,2024-11-05,EMP-00337,2604,169,Dimensional,Failed
QC-00000109,PROD-00014088,2025-02-18,EMP-00461,521,3,Dimensional,Passed
QC-00000110,PROD-00084564,2025-03-03,EMP-00259,1296,39,Surface,Passed
QC-00000111,PROD-00205190,2026-03-19,EMP-00459,2736,159,Surface,Failed
QC-00000112,PROD-00227705,2025-01-23,EMP-00163,2814,244,Surface,Failed
QC-00000113,PROD-00170329,2024-11-27,EMP-00124,1245,49,Assembly,Passed
QC-00000114,PROD-00172246,2025-11-21,EMP-00257,1465,146,Dimensional,Failed
QC-00000115,PROD-00180607,2025-08-31,EMP-00006,2978,116,None,Passed
QC-00000116,PROD-00013573,2024-09-08,EMP-00024,1942,82,Assembly,Passed
QC-00000117,PROD-00046965,2024-10-11,EMP-00328,831,5,Surface,Passed
QC-00000118,PROD-00061643,2026-07-23,EMP-00238,1160,26,Assembly,Passed
QC-00000119,PROD-00080883,2026-01-05,EMP-00353,1708,90,Assembly,Failed
QC-00000120,PROD-00273977,2024-09-05,EMP-00322,1657,145,None,Failed
QC-00000121,PROD-00142247,2026-03-21,EMP-00473,1527,143,Assembly,Failed
QC-00000122,PROD-00045679,2026-04-06,EMP-00476,1450,93,Material,Failed
QC-00000123,PROD-00205606,2026-04-28,EMP-00315,2949,70,Dimensional,Passed
QC-00000124,PROD-00019287,2024-10-31,EMP-00054,1969,89,Dimensional,Passed
QC-00000125,PROD-00253178,2026-07-14,EMP-00482,2730,214,Surface,Failed
QC-00000126,PROD-00259478,2025-06-21,EMP-00089,2898,26,Surface,Passed
QC-00000127,PROD-00255691,2026-03-31,EMP-00318,1307,19,Surface,Passed
QC-00000128,PROD-00244437,2024-12-21,EMP-00381,2840,247,Dimensional,Failed
QC-00000129,PROD-00129894,2025-07-31,EMP-00104,1617,4,Material,Passed
QC-00000130,PROD-00138952,2025-07-10,EMP-00007,2026,59,Assembly,Passed
QC-00000131,PROD-00250282,2025-10-17,EMP-00241,1072,48,Assembly,Passed
QC-00000132,PROD-00042547,2026-06-11,EMP-00484,1332,54,Assembly,Passed
QC-00000133,PROD-00220494,2025-04-10,EMP-00002,2295,75,Material,Passed
QC-00000134,PROD-00131691,2025-05-29,EMP-00085,2795,78,Assembly,Passed
QC-00000135,PROD-00172631,2025-09-08,EMP-00261,2971,225,Dimensional,Failed
QC-00000136,PROD-00272514,2025-04-15,EMP-00083,1936,30,Dimensional,Passed
QC-00000137,PROD-00127316,2026-08-19,EMP-00420,1647,23,Assembly,Passed
QC-00000138,PROD-00126922,2026-02-10,EMP-00200,1258,109,Surface,Failed
QC-00000139,PROD-00015929,2026-06-30,EMP-00224,2273,186,Assembly,Failed
QC-00000140,PROD-00253504,2024-09-21,EMP-00497,1980,9,Material,Passed
QC-00000141,PROD-00071297,2025-06-06,EMP-00319,1703,160,None,Failed
QC-00000142,PROD-00248895,2025-07-31,EMP-00461,2754,266,Surface,Failed
QC-00000143,PROD-00124968,2024-09-18,EMP-00374,1768,143,Material,Failed
QC-00000144,PROD-00219642,2026-02-26,EMP-00156,719,63,Dimensional,Failed
