production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2024-11-30,BATCH-00000001,PRD-006,LINE-04,M-011,EMP-00217,Night,1402,1266,1178,88,120,596,149304.49,8430.16,3827.23,Failed,False
PROD-00000002,2024-09-26,BATCH-00000002,PRD-008,LINE-05,M-009,EMP-00247,Afternoon,2091,1872,1820,52,169,345,395214.01,8028.88,1664.98,Passed,False
PROD-00000003,2026-02-08,BATCH-00000003,PRD-003,LINE-05,M-019,EMP-00371,Afternoon,2324,2255,2062,193,172,338,903507.0,9849.56,8554.79,Failed,False
PROD-00000004,2025-02-01,BATCH-00000004,PRD-005,LINE-02,M-007,EMP-00256,Afternoon,1650,1503,1499,4,152,425,47704.47,8251.71,2739.51,Passed,False
PROD-00000005,2025-07-23,BATCH-00000005,PRD-007,LINE-04,M-008,EMP-00024,Night,925,678,647,31,51,325,48309.35,6597.15,1511.67,Passed,False
PROD-00000006,2025-08-18,BATCH-00000006,PRD-004,LINE-03,M-013,EMP-00448,Night,2436,2231,2166,65,53,575,342840.3,11942.54,6332.26,Passed,False
PROD-00000007,2025-10-02,BATCH-00000007,PRD-005,LINE-03,M-004,EMP-00345,Morning,822,800,726,74,157,437,21740.57,6617.7,2059.53,Failed,True
PROD-00000008,2025-10-05,BATCH-00000008,PRD-005,LINE-01,M-017,EMP-00301,Night,1985,1963,1937,26,33,358,51665.52,7126.92,7063.9,Passed,False
PROD-00000009,2026-07-28,BATCH-00000009,PRD-009,LINE-05,M-010,EMP-00477,Morning,2504,2420,2343,77,149,499,868662.7,8724.22,2693.23,Passed,False
PROD-00000010,2026-05-26,BATCH-00000010,PRD-007,LINE-02,M-002,EMP-00191,Afternoon,929,701,691,10,168,304,48526.05,7623.85,2287.17,Passed,False
PROD-00000011,2026-03-25,BATCH-00000011,PRD-003,LINE-05,M-003,EMP-00016,Night,1885,1679,1609,70,24,514,561994.41,14647.18,4109.23,Passed,False
PROD-00000012,2025-08-23,BATCH-00000012,PRD-006,LINE-03,M-014,EMP-00199,Afternoon,796,649,593,56,83,550,77975.81,4152.52,9384.47,Failed,False
PROD-00000013,2024-08-30,BATCH-00000013,PRD-008,LINE-05,M-014,EMP-00382,Morning,2283,2062,2028,34,135,386,361957.05,4815.34,7115.51,Passed,False
PROD-00000014,2024-11-24,BATCH-00000014,PRD-010,LINE-05,M-005,EMP-00116,Night,1003,993,907,86,29,406,62068.47,6233.29,7661.08,Failed,False
PROD-00000015,2026-06-20,BATCH-00000015,PRD-003,LINE-03,M-001,EMP-00259,Morning,2052,1916,1827,89,31,508,811382.9,7460.67,8399.61,Passed,False
PROD-00000016,2025-01-17,BATCH-00000016,PRD-010,LINE-02,M-009,EMP-00471,Afternoon,887,678,620,58,148,380,39267.79,7731.06,2355.92,Failed,False
PROD-00000017,2025-05-16,BATCH-00000017,PRD-006,LINE-02,M-008,EMP-00156,Morning,1939,1735,1604,131,180,353,147559.44,7312.09,3274.49,Failed,False
PROD-00000018,2025-05-05,BATCH-00000018,PRD-007,LINE-02,M-012,EMP-00196,Afternoon,2544,2518,2400,118,12,381,231679.18,11633.09,1312.07,Passed,False
PROD-00000019,2024-10-02,BATCH-00000019,PRD-003,LINE-03,M-012,EMP-00158,Morning,837,707,673,34,56,325,223925.99,3410.17,1252.63,Passed,False
PROD-00000020,2025-08-19,BATCH-00000020,PRD-005,LINE-05,M-011,EMP-00251,Night,1502,1464,1462,2,36,390,32837.78,7397.36,1296.88,Passed,False
PROD-00000021,2024-12-16,BATCH-00000021,PRD-009,LINE-04,M-015,EMP-00293,Afternoon,2014,1772,1744,28,59,371,451017.68,8860.65,2735.65,Passed,False
PROD-00000022,2025-10-17,BATCH-00000022,PRD-010,LINE-04,M-010,EMP-00338,Night,1597,1405,1404,1,27,486,98743.16,8701.34,3870.82,Passed,True
PROD-00000023,2026-05-25,BATCH-00000023,PRD-006,LINE-02,M-019,EMP-00124,Morning,2312,2205,2067,138,2,579,270246.98,11154.2,5000.85,Failed,True
PROD-00000024,2025-04-02,BATCH-00000024,PRD-005,LINE-05,M-016,EMP-00356,Afternoon,562,548,531,17,14,357,16665.39,3401.12,7260.89,Passed,True
PROD-00000025,2026-07-12,BATCH-00000025,PRD-004,LINE-04,M-001,EMP-00297,Afternoon,1321,1109,1059,50,42,357,255973.11,2954.37,1057.33,Passed,False
PROD-00000026,2026-06-15,BATCH-00000026,PRD-008,LINE-05,M-014,EMP-00128,Night,1063,829,805,24,31,424,114978.15,11174.26,4247.19,Passed,False
PROD-00000027,2024-10-01,BATCH-00000027,PRD-007,LINE-03,M-019,EMP-00089,Night,502,374,369,5,31,481,24459.19,4731.14,1175.17,Passed,False
PROD-00000028,2026-03-06,BATCH-00000028,PRD-010,LINE-01,M-013,EMP-00227,Afternoon,1380,1140,1060,80,20,322,81451.57,3634.67,1776.22,Failed,False
PROD-00000029,2026-06-28,BATCH-00000029,PRD-004,LINE-04,M-005,EMP-00419,Morning,2162,1994,1839,155,93,412,349964.51,14996.4,4470.27,Failed,False
PROD-00000030,2025-03-24,BATCH-00000030,PRD-008,LINE-04,M-013,EMP-00207,Morning,1964,1919,1823,96,176,568,330583.05,10517.49,3878.99,Failed,False
PROD-00000031,2025-05-17,BATCH-00000031,PRD-005,LINE-02,M-017,EMP-00301,Morning,1920,1680,1518,162,10,309,44186.27,14551.55,7884.99,Failed,False
PROD-00000032,2026-04-15,BATCH-00000032,PRD-010,LINE-05,M-008,EMP-00036,Morning,2611,2398,2340,58,62,374,139319.86,8432.7,3179.39,Passed,False
PROD-00000033,2025-01-14,BATCH-00000033,PRD-002,LINE-04,M-007,EMP-00375,Morning,953,712,683,29,48,352,27254.27,3970.38,9310.04,Passed,False
PROD-00000034,2026-08-13,BATCH-00000034,PRD-001,LINE-01,M-007,EMP-00042,Night,873,645,607,38,149,327,31100.49,8139.9,3097.01,Failed,False
PROD-00000035,2026-06-30,BATCH-00000035,PRD-004,LINE-05,M-004,EMP-00355,Afternoon,1565,1494,1451,43,3,516,327097.04,2234.59,7428.12,Passed,False
PROD-00000036,2025-01-11,BATCH-00000036,PRD-004,LINE-03,M-003,EMP-00278,Morning,1452,1288,1276,12,163,561,233077.79,12316.58,2915.27,Passed,False
PROD-00000037,2025-06-27,BATCH-00000037,PRD-010,LINE-03,M-002,EMP-00076,Night,1119,993,912,81,91,345,65311.21,11274.96,8703.19,Failed,False
PROD-00000038,2026-07-28,BATCH-00000038,PRD-009,LINE-05,M-001,EMP-00100,Afternoon,2805,2614,2381,233,138,585,769453.78,2284.21,7160.88,Failed,False
PROD-00000039,2026-03-03,BATCH-00000039,PRD-009,LINE-02,M-016,EMP-00445,Morning,1265,1139,1066,73,172,442,333593.1,12001.08,5188.69,Failed,False
PROD-00000040,2025-12-10,BATCH-00000040,PRD-005,LINE-03,M-006,EMP-00052,Night,2394,2228,2205,23,55,332,58320.85,2749.71,8822.47,Passed,False
PROD-00000041,2025-11-24,BATCH-00000041,PRD-007,LINE-02,M-015,EMP-00200,Night,1137,1038,1022,16,78,339,69233.51,14425.85,8374.63,Passed,False
PROD-00000042,2026-06-10,BATCH-00000042,PRD-008,LINE-05,M-007,EMP-00060,Night,1371,1365,1305,60,64,423,233759.87,8289.95,2619.91,Passed,False
PROD-00000043,2026-06-22,BATCH-00000043,PRD-005,LINE-05,M-013,EMP-00172,Morning,2380,2238,2099,139,170,559,60924.57,4120.12,4618.23,Failed,False
PROD-00000044,2025-01-22,BATCH-00000044,PRD-002,LINE-03,M-015,EMP-00188,Afternoon,1113,937,845,92,52,543,27128.79,2079.86,4648.51,Failed,False
PROD-00000045,2025-02-07,BATCH-00000045,PRD-008,LINE-04,M-007,EMP-00250,Afternoon,744,567,560,7,29,328,93001.19,7516.19,9568.73,Passed,False
PROD-00000046,2026-02-17,BATCH-00000046,PRD-010,LINE-05,M-011,EMP-00304,Morning,2394,2272,2239,33,64,303,175097.94,8058.28,9831.17,Passed,False
PROD-00000047,2025-04-02,BATCH-00000047,PRD-010,LINE-03,M-007,EMP-00027,Morning,1080,838,762,76,136,386,42351.01,13304.62,7132.81,Failed,False
PROD-00000048,2024-10-14,BATCH-00000048,PRD-009,LINE-04,M-005,EMP-00417,Night,1655,1421,1301,120,150,347,454821.42,3189.01,2274.56,Failed,False
PROD-00000049,2025-09-20,BATCH-00000049,PRD-003,LINE-01,M-010,EMP-00403,Night,2390,2291,2063,228,9,474,712952.84,4989.55,2967.14,Failed,False
PROD-00000050,2026-01-04,BATCH-00000050,PRD-006,LINE-01,M-017,EMP-00219,Afternoon,1647,1572,1567,5,0,362,190950.16,7013.99,2447.76,Passed,True
PROD-00000051,2026-06-30,BATCH-00000051,PRD-009,LINE-04,M-005,EMP-00159,Night,2266,2169,2045,124,101,479,509438.47,2655.07,6038.76,Failed,True
PROD-00000052,2026-04-12,BATCH-00000052,PRD-005,LINE-02,M-013,EMP-00326,Afternoon,1393,1392,1308,84,65,303,36040.7,12379.68,4691.85,Failed,True
PROD-00000053,2025-11-13,BATCH-00000053,PRD-002,LINE-03,M-002,EMP-00051,Morning,965,874,846,28,53,442,38554.7,4299.36,1749.03,Passed,False
PROD-00000054,2026-07-12,BATCH-00000054,PRD-002,LINE-04,M-010,EMP-00251,Night,1145,1134,1047,87,3,463,47225.33,4397.31,1825.71,Failed,False
