usage_id,production_id,material_id,quantity_used,unit_cost,usage_date
USE-00000001,PROD-00195607,MAT-007,949.51,495.66,2026-05-31
USE-00000002,PROD-00074398,MAT-005,601.99,81.3,2025-03-10
USE-00000003,PROD-00299759,MAT-008,705.92,347.03,2024-09-06
USE-00000004,PROD-00225383,MAT-005,503.19,62.78,2024-10-29
USE-00000005,PROD-00065708,MAT-010,130.55,348.01,2026-04-26
USE-00000006,PROD-00057952,MAT-008,458.15,323.07,2024-11-24
USE-00000007,PROD-00159905,MAT-002,491.82,316.12,2025-06-02
USE-00000008,PROD-00018279,MAT-001,68.39,289.12,2024-11-28
USE-00000009,PROD-00016615,MAT-005,969.19,59.47,2025-06-17
USE-00000010,PROD-00220374,MAT-002,297.98,431.08,2026-08-20
USE-00000011,PROD-00178047,MAT-009,729.19,341.42,2024-12-27
USE-00000012,PROD-00105206,MAT-009,37.56,147.82,2026-02-07
USE-00000013,PROD-00001605,MAT-002,537.29,242.51,2026-05-29
USE-00000014,PROD-00009909,MAT-008,957.65,391.02,2025-10-23
USE-00000015,PROD-00077483,MAT-009,253.5,89.64,2026-06-02
USE-00000016,PROD-00058762,MAT-008,192.56,214.35,2025-11-18
USE-00000017,PROD-00248932,MAT-007,585.69,24.39,2024-12-27
USE-00000018,PROD-00299019,MAT-007,363.75,473.84,2026-04-17
USE-00000019,PROD-00191340,MAT-001,25.16,295.14,2025-04-14
USE-00000020,PROD-00018697,MAT-002,102.07,168.97,2026-03-27
USE-00000021,PROD-00176028,MAT-003,850.05,447.71,2024-12-29
USE-00000022,PROD-00223384,MAT-009,71.99,38.79,2026-07-20
USE-00000023,PROD-00184661,MAT-002,862.9,51.58,2025-07-07
USE-00000024,PROD-00252425,MAT-008,274.57,75.84,2025-09-03
USE-00000025,PROD-00280761,MAT-007,469.85,380.01,2025-02-13
USE-00000026,PROD-00050867,MAT-009,680.25,225.41,2026-06-08
USE-00000027,PROD-00089924,MAT-001,557.7,28.23,2024-11-27
USE-00000028,PROD-00174434,MAT-001,988.28,371.49,2025-09-02
USE-00000029,PROD-00082642,MAT-006,344.79,245.1,2024-11-19
USE-00000030,PROD-00123701,MAT-010,423.27,20.11,2026-06-18
USE-00000031,PROD-00077248,MAT-001,287.49,384.23,2026-05-29
USE-00000032,PROD-00276483,MAT-003,657.76,385.25,2024-09-27
USE-00000033,PROD-00135984,MAT-004,431.56,132.43,2025-09-22
USE-00000034,PROD-00143185,MAT-008,463.07,459.49,2025-12-01
