production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2025-03-16,BATCH-00000001,PRD-007,LINE-05,M-012,EMP-00465,Night,647,564,527,37,99,369,39900.66,2573.84,3818.84,Failed,False
PROD-00000002,2025-11-29,BATCH-00000002,PRD-004,LINE-04,M-009,EMP-00416,Night,1123,1066,996,70,169,470,162319.9,4011.02,8236.83,Failed,False
PROD-00000003,2024-12-22,BATCH-00000003,PRD-002,LINE-03,M-013,EMP-00041,Afternoon,1979,1760,1612,148,87,541,50877.08,9476.58,4804.39,Failed,False
PROD-00000004,2026-08-11,BATCH-00000004,PRD-001,LINE-02,M-013,EMP-00440,Morning,2881,2764,2704,60,153,471,167056.46,14185.57,4529.38,Passed,False
PROD-00000005,2024-09-19,BATCH-00000005,PRD-001,LINE-02,M-003,EMP-00462,Morning,1577,1424,1417,7,105,555,80277.15,6930.24,6809.25,Passed,False
PROD-00000006,2025-02-12,BATCH-00000006,PRD-004,LINE-03,M-016,EMP-00154,Night,1132,956,889,67,129,531,209708.03,7515.03,2940.04,Failed,False
PROD-00000007,2025-07-11,BATCH-00000007,PRD-004,LINE-04,M-005,EMP-00372,Morning,1312,1188,1134,54,69,415,201964.3,2038.16,7231.3,Passed,False
PROD-00000008,2026-04-24,BATCH-00000008,PRD-005,LINE-05,M-016,EMP-00344,Afternoon,2565,2479,2479,0,127,307,64508.59,3070.07,8911.93,Passed,False
PROD-00000009,2025-12-03,BATCH-00000009,PRD-007,LINE-02,M-018,EMP-00125,Afternoon,644,551,529,22,159,585,45139.85,10317.16,2981.97,Passed,False
PROD-00000010,2025-02-20,BATCH-00000010,PRD-009,LINE-05,M-004,EMP-00441,Night,600,414,377,37,121,483,133055.15,4801.89,4342.75,Failed,False
PROD-00000011,2024-10-05,BATCH-00000011,PRD-004,LINE-04,M-015,EMP-00393,Afternoon,2988,2758,2552,206,166,541,481254.97,6133.25,7363.25,Failed,False
PROD-00000012,2025-11-30,BATCH-00000012,PRD-005,LINE-02,M-018,EMP-00306,Morning,2210,2041,2027,14,6,428,59256.61,10356.83,8794.34,Passed,False
PROD-00000013,2026-04-07,BATCH-00000013,PRD-003,LINE-03,M-010,EMP-00312,Night,875,745,705,40,61,473,247901.53,6300.58,5118.17,Failed,False
PROD-00000014,2024-10-29,BATCH-00000014,PRD-003,LINE-04,M-004,EMP-00144,Night,2137,1889,1718,171,20,339,675922.26,10293.68,5292.8,Failed,False
PROD-00000015,2026-03-05,BATCH-00000015,PRD-002,LINE-01,M-001,EMP-00075,Morning,1260,1100,1018,82,1,349,45304.41,8355.88,3590.4,Failed,False
PROD-00000016,2025-03-21,BATCH-00000016,PRD-001,LINE-02,M-006,EMP-00491,Afternoon,737,670,609,61,110,329,33463.6,8871.14,5519.2,Failed,False
PROD-00000017,2026-08-11,BATCH-00000017,PRD-002,LINE-04,M-017,EMP-00221,Afternoon,1298,1069,979,90,58,485,40282.32,9490.01,8665.38,Failed,True
PROD-00000018,2026-05-31,BATCH-00000018,PRD-009,LINE-01,M-006,EMP-00194,Afternoon,2679,2461,2349,112,84,428,878724.49,7600.68,7373.09,Passed,False
PROD-00000019,2025-12-26,BATCH-00000019,PRD-002,LINE-02,M-007,EMP-00205,Afternoon,1091,906,894,12,147,374,28186.8,12537.68,3351.27,Passed,True
PROD-00000020,2024-10-09,BATCH-00000020,PRD-002,LINE-01,M-011,EMP-00246,Afternoon,2359,2308,2120,188,4,523,75027.73,5570.21,9206.97,Failed,False
