movement_id,movement_date,material_id,warehouse,movement_type,quantity
INV-00000001,2026-08-25,MAT-002,WH-002,Return,1335
INV-00000002,2026-07-31,MAT-002,WH-001,Purchase,2017
INV-00000003,2025-12-30,MAT-005,WH-001,Production Consumption,1468
INV-00000004,2025-11-21,MAT-006,WH-003,Adjustment,1011
INV-00000005,2025-11-12,MAT-009,WH-001,Adjustment,2719
INV-00000006,2025-12-11,MAT-005,WH-001,Return,3850
INV-00000007,2025-03-16,MAT-005,WH-003,Production Consumption,3114
INV-00000008,2026-02-28,MAT-007,WH-003,Sales,542
INV-00000009,2026-04-27,MAT-001,WH-003,Purchase,3735
INV-00000010,2026-01-13,MAT-002,WH-001,Purchase,759
INV-00000011,2025-10-18,MAT-001,WH-003,Purchase,4350
INV-00000012,2024-09-20,MAT-002,WH-001,Production Consumption,4458
INV-00000013,2025-11-04,MAT-009,WH-003,Production Consumption,4140
INV-00000014,2025-04-12,MAT-009,WH-002,Return,4409
INV-00000015,2025-12-24,MAT-009,WH-003,Sales,3799
INV-00000016,2026-06-19,MAT-010,WH-003,Sales,4139
INV-00000017,2026-03-10,MAT-010,WH-002,Sales,2797
INV-00000018,2026-07-15,MAT-010,WH-003,Adjustment,971
INV-00000019,2025-11-18,MAT-006,WH-003,Sales,4125
INV-00000020,2026-08-14,MAT-006,WH-003,Sales,3926
INV-00000021,2025-11-28,MAT-008,WH-002,Return,4488
INV-00000022,2025-08-04,MAT-008,WH-003,Production Consumption,307
INV-00000023,2026-08-21,MAT-006,WH-003,Adjustment,3977
INV-00000024,2025-02-19,MAT-002,WH-001,Return,822
INV-00000025,2025-10-04,MAT-007,WH-003,Purchase,3176
INV-00000026,2024-10-10,MAT-009,WH-003,Adjustment,3399
INV-00000027,2025-08-13,MAT-010,WH-002,Purchase,2856
INV-00000028,2025-04-21,MAT-003,WH-002,Production Consumption,4102
INV-00000029,2024-08-25,MAT-005,WH-002,Production Consumption,2116
INV-00000030,2026-03-19,MAT-009,WH-002,Return,4430
