usage_id,production_id,material_id,quantity_used,unit_cost,usage_date
USE-00000001,PROD-00151316,MAT-007,136.26,317.75,2025-02-07
USE-00000002,PROD-00203983,MAT-001,607.82,391.85,2024-12-26
USE-00000003,PROD-00107161,MAT-003,357.15,74.2,2025-02-06
USE-00000004,PROD-00262079,MAT-004,196.94,199.74,2025-11-25
USE-00000005,PROD-00118160,MAT-007,560.4,406.75,2026-08-14
USE-00000006,PROD-00080104,MAT-002,716.19,435.77,2025-07-24
USE-00000007,PROD-00207666,MAT-006,940.86,46.09,2025-07-21
USE-00000008,PROD-00022315,MAT-009,295.46,235.62,2026-07-26
USE-00000009,PROD-00187438,MAT-006,435.36,85.96,2025-02-25
USE-00000010,PROD-00029472,MAT-008,502.34,372.04,2025-04-12
USE-00000011,PROD-00229334,MAT-007,552.68,271.44,2026-01-05
USE-00000012,PROD-00182305,MAT-007,633.68,258.61,2025-03-06
USE-00000013,PROD-00253751,MAT-005,918.52,466.05,2025-08-05
USE-00000014,PROD-00029866,MAT-005,708.49,87.92,2025-03-31
USE-00000015,PROD-00035160,MAT-001,572.24,453.15,2024-10-25
USE-00000016,PROD-00016344,MAT-009,780.97,127.36,2024-10-19
USE-00000017,PROD-00239290,MAT-008,449.62,166.46,2024-11-27
USE-00000018,PROD-00148136,MAT-002,482.16,386.85,2026-04-09
USE-00000019,PROD-00229513,MAT-010,233.46,42.75,2025-10-03
USE-00000020,PROD-00221361,MAT-007,726.32,129.85,2025-04-27
USE-00000021,PROD-00064705,MAT-010,88.21,39.31,2025-11-15
USE-00000022,PROD-00094778,MAT-003,665.91,122.77,2026-03-18
USE-00000023,PROD-00206849,MAT-010,371.02,257.29,2026-02-12
USE-00000024,PROD-00081413,MAT-007,363.09,78.68,2026-02-21
USE-00000025,PROD-00171069,MAT-008,142.64,184.37,2025-12-25
USE-00000026,PROD-00256360,MAT-002,443.25,450.68,2026-01-15
USE-00000027,PROD-00280888,MAT-009,848.37,17.61,2025-03-26
USE-00000028,PROD-00091109,MAT-001,742.19,360.03,2024-09-07
USE-00000029,PROD-00091712,MAT-005,229.67,190.86,2024-10-04
USE-00000030,PROD-00219559,MAT-003,89.38,38.07,2025-05-10
USE-00000031,PROD-00058563,MAT-002,729.04,304.9,2026-07-18
USE-00000032,PROD-00161916,MAT-002,974.01,466.82,2025-12-24
USE-00000033,PROD-00176909,MAT-003,898.46,424.43,2026-02-07
USE-00000034,PROD-00196993,MAT-007,22.81,126.7,2025-03-02
USE-00000035,PROD-00275231,MAT-006,755.12,276.09,2026-05-20
USE-00000036,PROD-00236166,MAT-007,933.27,167.81,2025-03-07
USE-00000037,PROD-00258003,MAT-007,602.97,47.15,2025-08-06
USE-00000038,PROD-00217074,MAT-007,235.08,418.08,2025-12-29
USE-00000039,PROD-00057401,MAT-005,472.01,37.83,2026-05-14
USE-00000040,PROD-00273207,MAT-009,774.26,409.37,2026-04-29
USE-00000041,PROD-00180504,MAT-010,873.56,144.16,2025-01-27
USE-00000042,PROD-00194091,MAT-007,309.07,428.54,2026-01-29
USE-00000043,PROD-00105830,MAT-008,48.65,90.97,2024-12-28
USE-00000044,PROD-00040976,MAT-010,103.22,297.47,2025-04-18
USE-00000045,PROD-00071632,MAT-009,833.3,266.39,2025-05-25
USE-00000046,PROD-00039183,MAT-008,236.09,457.46,2024-10-22
USE-00000047,PROD-00298119,MAT-003,489.59,49.99,2025-03-02
USE-00000048,PROD-00265755,MAT-006,437.2,159.17,2025-03-04
USE-00000049,PROD-00104469,MAT-005,917.32,267.58,2025-05-07
USE-00000050,PROD-00214997,MAT-007,717.8,136.74,2026-02-07
USE-00000051,PROD-00055336,MAT-007,401.22,78.6,2024-11-15
USE-00000052,PROD-00193827,MAT-007,175.63,223.57,2025-10-20
USE-00000053,PROD-00061345,MAT-006,244.41,222.54,2025-11-18
USE-00000054,PROD-00070689,MAT-008,471.54,103.78,2026-03-17
USE-00000055,PROD-00274101,MAT-001,503.97,389.34,2025-01-20
USE-00000056,PROD-00029896,MAT-004,616.29,153.65,2025-12-26
USE-00000057,PROD-00269206,MAT-010,836.37,339.55,2025-09-14
USE-00000058,PROD-00298770,MAT-003,350.57,265.53,2025-11-08
USE-00000059,PROD-00200858,MAT-006,840.51,397.93,2024-11-15
USE-00000060,PROD-00037922,MAT-002,102.04,222.99,2025-11-13
USE-00000061,PROD-00091881,MAT-006,548.73,253.22,2024-12-15
USE-00000062,PROD-00160298,MAT-006,498.74,80.5,2024-11-22
USE-00000063,PROD-00059181,MAT-004,557.2,397.3,2025-04-22
USE-00000064,PROD-00223734,MAT-008,226.48,474.95,2025-10-07
USE-00000065,PROD-00090284,MAT-009,975.3,480.83,2025-03-30
USE-00000066,PROD-00093688,MAT-010,822.12,250.41,2024-09-23
USE-00000067,PROD-00020412,MAT-004,490.64,294.38,2025-08-03
USE-00000068,PROD-00139082,MAT-002,812.95,245.48,2025-12-26
USE-00000069,PROD-00267840,MAT-001,979.99,141.48,2026-01-19
USE-00000070,PROD-00074652,MAT-010,731.5,408.1,2026-06-02
USE-00000071,PROD-00050970,MAT-007,538.52,370.97,2025-11-29
USE-00000072,PROD-00167162,MAT-010,407.4,35.36,2024-12-03
USE-00000073,PROD-00176782,MAT-008,471.97,228.56,2025-02-05
USE-00000074,PROD-00128083,MAT-004,132.58,157.04,2024-09-30
USE-00000075,PROD-00132003,MAT-003,485.59,35.66,2026-02-20
USE-00000076,PROD-00292407,MAT-010,161.65,403.54,2026-02-19
USE-00000077,PROD-00069915,MAT-006,335.21,396.68,2025-10-15
USE-00000078,PROD-00277470,MAT-001,769.53,12.78,2025-04-13
USE-00000079,PROD-00191865,MAT-006,758.01,280.02,2026-06-29
USE-00000080,PROD-00059780,MAT-003,56.1,128.68,2025-05-10
