usage_id,production_id,material_id,quantity_used,unit_cost,usage_date
USE-00000001,PROD-00067134,MAT-002,946.41,52.72,2025-11-24
USE-00000002,PROD-00000332,MAT-003,268.17,171.22,2026-07-21
USE-00000003,PROD-00151595,MAT-004,621.0,219.47,2024-09-01
USE-00000004,PROD-00019331,MAT-006,664.54,417.24,2026-04-06
USE-00000005,PROD-00166146,MAT-003,950.64,400.39,2024-09-30
USE-00000006,PROD-00032118,MAT-009,595.59,399.0,2024-10-03
USE-00000007,PROD-00274511,MAT-003,183.56,155.45,2025-04-14
USE-00000008,PROD-00080622,MAT-009,650.64,123.81,2026-06-21
USE-00000009,PROD-00210005,MAT-009,918.7,38.02,2024-11-27
USE-00000010,PROD-00076979,MAT-008,412.36,96.71,2026-01-13
USE-00000011,PROD-00102494,MAT-008,946.53,58.6,2025-12-09
USE-00000012,PROD-00193868,MAT-005,106.5,146.64,2025-02-05
USE-00000013,PROD-00022697,MAT-006,374.68,283.44,2026-01-23
USE-00000014,PROD-00117210,MAT-008,832.76,50.29,2026-06-03
USE-00000015,PROD-00165247,MAT-005,684.32,122.42,2026-07-22
USE-00000016,PROD-00000867,MAT-003,964.13,499.99,2026-04-26
USE-00000017,PROD-00295189,MAT-003,163.79,58.87,2026-04-30
USE-00000018,PROD-00290108,MAT-001,480.33,275.89,2026-01-25
USE-00000019,PROD-00284215,MAT-005,274.92,497.18,2024-10-09
USE-00000020,PROD-00147428,MAT-003,615.29,375.75,2025-12-29
USE-00000021,PROD-00233380,MAT-008,843.21,424.11,2026-03-30
USE-00000022,PROD-00172484,MAT-009,203.87,275.95,2025-05-26
USE-00000023,PROD-00294096,MAT-010,937.74,89.66,2025-03-25
USE-00000024,PROD-00259925,MAT-002,754.47,171.35,2026-05-28
USE-00000025,PROD-00025967,MAT-003,238.85,295.95,2025-09-14
USE-00000026,PROD-00174859,MAT-008,762.47,286.96,2025-08-01
USE-00000027,PROD-00146273,MAT-001,580.61,74.53,2025-01-07
USE-00000028,PROD-00099759,MAT-009,288.39,170.98,2026-08-22
USE-00000029,PROD-00173777,MAT-007,94.07,313.73,2025-12-17
USE-00000030,PROD-00161105,MAT-010,774.18,166.84,2025-10-11
USE-00000031,PROD-00144401,MAT-006,34.45,395.22,2025-06-11
USE-00000032,PROD-00289300,MAT-002,463.92,388.48,2026-06-09
USE-00000033,PROD-00117132,MAT-006,764.97,182.52,2026-02-19
USE-00000034,PROD-00039378,MAT-002,851.95,492.75,2026-06-16
USE-00000035,PROD-00127447,MAT-009,144.27,115.58,2025-03-22
USE-00000036,PROD-00099822,MAT-009,499.37,436.84,2025-05-24
USE-00000037,PROD-00055675,MAT-007,67.98,179.18,2024-09-28
USE-00000038,PROD-00170748,MAT-008,258.24,245.67,2025-01-31
USE-00000039,PROD-00177560,MAT-005,242.64,364.96,2024-10-16
USE-00000040,PROD-00133825,MAT-006,68.8,77.6,2025-04-30
USE-00000041,PROD-00021918,MAT-009,516.39,132.67,2025-07-09
USE-00000042,PROD-00070889,MAT-005,786.47,242.91,2025-12-19
USE-00000043,PROD-00236360,MAT-006,519.71,376.45,2025-09-26
USE-00000044,PROD-00169576,MAT-008,987.15,238.85,2026-07-17
USE-00000045,PROD-00262706,MAT-001,612.71,59.15,2025-06-25
USE-00000046,PROD-00055455,MAT-002,937.73,383.5,2025-11-28
