order_item_id,order_id,product_id,quantity,unit_price,discount,line_amount
ITEM-00000001,ORD-00014559,PRD-009,67,700,0.09,46900
ITEM-00000002,ORD-00039709,PRD-001,144,120,0.1,17280
ITEM-00000003,ORD-00098876,PRD-003,29,850,0.05,24650
ITEM-00000004,ORD-00025508,PRD-004,182,450,0.1,81900
ITEM-00000005,ORD-00092992,PRD-009,91,700,0.14,63700
ITEM-00000006,ORD-00066535,PRD-007,483,180,0.09,86940
ITEM-00000007,ORD-00069005,PRD-004,397,450,0.12,178650
ITEM-00000008,ORD-00008769,PRD-003,50,850,0.15,42500
ITEM-00000009,ORD-00009317,PRD-004,240,450,0.07,108000
ITEM-00000010,ORD-00074765,PRD-008,48,400,0.03,19200
ITEM-00000011,ORD-00083600,PRD-008,117,400,0.1,46800
ITEM-00000012,ORD-00018227,PRD-010,195,150,0.01,29250
ITEM-00000013,ORD-00037795,PRD-008,110,400,0.09,44000
ITEM-00000014,ORD-00091392,PRD-005,38,60,0.05,2280
ITEM-00000015,ORD-00099392,PRD-009,379,700,0.02,265300
ITEM-00000016,ORD-00087372,PRD-010,336,150,0.06,50400
ITEM-00000017,ORD-00077747,PRD-006,340,250,0.12,85000
ITEM-00000018,ORD-00099040,PRD-004,225,450,0.08,101250
ITEM-00000019,ORD-00036141,PRD-003,125,850,0.14,106250
ITEM-00000020,ORD-00071013,PRD-006,80,250,0.02,20000
ITEM-00000021,ORD-00008389,PRD-002,378,90,0.03,34020
ITEM-00000022,ORD-00069321,PRD-010,331,150,0.0,49650
ITEM-00000023,ORD-00031736,PRD-006,250,250,0.0,62500
ITEM-00000024,ORD-00082906,PRD-008,318,400,0.12,127200
ITEM-00000025,ORD-00051425,PRD-009,279,700,0.06,195300
ITEM-00000026,ORD-00069976,PRD-009,213,700,0.15,149100
ITEM-00000027,ORD-00037272,PRD-003,319,850,0.03,271150
ITEM-00000028,ORD-00068858,PRD-005,434,60,0.06,26040
ITEM-00000029,ORD-00020795,PRD-003,460,850,0.03,391000
ITEM-00000030,ORD-00092223,PRD-010,277,150,0.1,41550
ITEM-00000031,ORD-00036290,PRD-004,97,450,0.12,43650
ITEM-00000032,ORD-00033563,PRD-002,241,90,0.07,21690
ITEM-00000033,ORD-00082334,PRD-002,208,90,0.14,18720
ITEM-00000034,ORD-00099253,PRD-003,495,850,0.06,420750
ITEM-00000035,ORD-00093188,PRD-007,44,180,0.08,7920
ITEM-00000036,ORD-00031213,PRD-002,218,90,0.15,19620
ITEM-00000037,ORD-00018994,PRD-009,448,700,0.01,313600
ITEM-00000038,ORD-00030556,PRD-004,95,450,0.12,42750
ITEM-00000039,ORD-00003408,PRD-003,173,850,0.13,147050
ITEM-00000040,ORD-00070094,PRD-008,54,400,0.01,21600
ITEM-00000041,ORD-00000521,PRD-009,226,700,0.02,158200
ITEM-00000042,ORD-00020874,PRD-010,140,150,0.1,21000
ITEM-00000043,ORD-00025107,PRD-005,441,60,0.11,26460
ITEM-00000044,ORD-00032953,PRD-009,439,700,0.13,307300
ITEM-00000045,ORD-00041228,PRD-005,475,60,0.08,28500
ITEM-00000046,ORD-00059720,PRD-010,302,150,0.13,45300
ITEM-00000047,ORD-00023332,PRD-006,254,250,0.05,63500
ITEM-00000048,ORD-00016352,PRD-010,237,150,0.1,35550
ITEM-00000049,ORD-00070492,PRD-006,442,250,0.09,110500
ITEM-00000050,ORD-00034613,PRD-002,136,90,0.14,12240
ITEM-00000051,ORD-00054427,PRD-002,328,90,0.09,29520
ITEM-00000052,ORD-00015847,PRD-003,254,850,0.03,215900
ITEM-00000053,ORD-00015414,PRD-008,392,400,0.14,156800
ITEM-00000054,ORD-00014025,PRD-003,220,850,0.13,187000
ITEM-00000055,ORD-00031897,PRD-003,101,850,0.08,85850
ITEM-00000056,ORD-00096430,PRD-004,370,450,0.13,166500
ITEM-00000057,ORD-00059413,PRD-009,129,700,0.04,90300
ITEM-00000058,ORD-00056678,PRD-004,305,450,0.05,137250
ITEM-00000059,ORD-00002495,PRD-007,223,180,0.02,40140
ITEM-00000060,ORD-00019815,PRD-009,498,700,0.09,348600
ITEM-00000061,ORD-00025567,PRD-002,98,90,0.07,8820
ITEM-00000062,ORD-00007551,PRD-010,288,150,0.12,43200
ITEM-00000063,ORD-00033403,PRD-010,208,150,0.1,31200
ITEM-00000064,ORD-00047850,PRD-003,490,850,0.02,416500
ITEM-00000065,ORD-00001337,PRD-003,252,850,0.08,214200
