quality_check_id,production_id,inspection_date,inspector_id,units_inspected,defective_units,defect_type,result
QC-00000001,PROD-00169198,2026-07-16,EMP-00113,1025,11,Material,Passed
QC-00000002,PROD-00273225,2026-04-30,EMP-00281,578,2,Assembly,Passed
QC-00000003,PROD-00120893,2026-02-08,EMP-00488,2736,140,Assembly,Failed
QC-00000004,PROD-00152346,2025-11-26,EMP-00136,879,33,Surface,Passed
QC-00000005,PROD-00285358,2026-08-23,EMP-00472,1455,41,Assembly,Passed
QC-00000006,PROD-00262296,2026-06-26,EMP-00291,795,53,Surface,Failed
QC-00000007,PROD-00280084,2026-03-26,EMP-00361,2523,82,None,Passed
QC-00000008,PROD-00156514,2025-12-21,EMP-00037,567,48,Dimensional,Failed
QC-00000009,PROD-00059441,2025-04-04,EMP-00276,1833,154,None,Failed
QC-00000010,PROD-00215279,2026-01-19,EMP-00043,1966,10,Dimensional,Passed
QC-00000011,PROD-00219600,2024-12-01,EMP-00227,2296,182,Material,Failed
QC-00000012,PROD-00185207,2026-03-07,EMP-00102,940,5,Assembly,Passed
QC-00000013,PROD-00192394,2026-01-23,EMP-00487,1645,16,Dimensional,Passed
QC-00000014,PROD-00036806,2024-12-09,EMP-00116,2088,133,Material,Failed
QC-00000015,PROD-00101624,2024-11-17,EMP-00491,2508,198,None,Failed
QC-00000016,PROD-00107017,2025-01-14,EMP-00364,2682,147,Material,Failed
QC-00000017,PROD-00237088,2026-05-07,EMP-00108,2135,1,Surface,Passed
QC-00000018,PROD-00239667,2025-03-05,EMP-00304,1531,118,Material,Failed
QC-00000019,PROD-00075271,2026-04-03,EMP-00160,554,38,Surface,Failed
QC-00000020,PROD-00131594,2024-10-10,EMP-00362,1596,85,None,Failed
QC-00000021,PROD-00180915,2025-05-16,EMP-00254,529,36,Surface,Failed
QC-00000022,PROD-00107935,2026-04-12,EMP-00332,1348,69,Assembly,Failed
QC-00000023,PROD-00101644,2026-01-15,EMP-00309,1295,90,Material,Failed
QC-00000024,PROD-00060356,2026-08-11,EMP-00294,2350,193,Assembly,Failed
QC-00000025,PROD-00277478,2025-03-07,EMP-00021,2712,200,None,Failed
QC-00000026,PROD-00144814,2025-06-02,EMP-00275,2778,123,Surface,Passed
QC-00000027,PROD-00285603,2024-11-11,EMP-00309,1371,40,None,Passed
QC-00000028,PROD-00007533,2024-09-10,EMP-00079,1456,125,Material,Failed
QC-00000029,PROD-00215720,2024-10-09,EMP-00231,1224,54,Assembly,Passed
QC-00000030,PROD-00113812,2026-08-05,EMP-00120,794,47,Surface,Failed
QC-00000031,PROD-00136329,2026-05-17,EMP-00375,1201,96,Assembly,Failed
QC-00000032,PROD-00268335,2025-09-30,EMP-00054,629,8,Surface,Passed
QC-00000033,PROD-00103834,2025-08-08,EMP-00127,565,29,None,Failed
QC-00000034,PROD-00297559,2026-01-24,EMP-00031,1741,128,Material,Failed
QC-00000035,PROD-00056867,2024-10-22,EMP-00304,653,19,Assembly,Passed
QC-00000036,PROD-00206836,2026-01-28,EMP-00429,1317,53,Surface,Passed
QC-00000037,PROD-00249100,2024-11-05,EMP-00316,759,13,Material,Passed
QC-00000038,PROD-00109850,2025-07-08,EMP-00344,2424,185,Assembly,Failed
QC-00000039,PROD-00267296,2025-06-12,EMP-00461,1183,61,Material,Failed
QC-00000040,PROD-00065557,2025-07-15,EMP-00410,2234,194,None,Failed
QC-00000041,PROD-00209433,2026-06-30,EMP-00034,1868,72,Surface,Passed
QC-00000042,PROD-00234163,2026-01-07,EMP-00244,2938,155,Surface,Failed
QC-00000043,PROD-00023522,2026-04-09,EMP-00207,2371,100,Assembly,Passed
QC-00000044,PROD-00026902,2026-04-18,EMP-00223,1695,36,Dimensional,Passed
QC-00000045,PROD-00170160,2026-01-09,EMP-00409,2343,129,Surface,Failed
QC-00000046,PROD-00058179,2026-06-14,EMP-00205,2177,120,Dimensional,Failed
QC-00000047,PROD-00220977,2024-10-14,EMP-00239,1235,31,Dimensional,Passed
QC-00000048,PROD-00051981,2026-04-07,EMP-00441,2564,52,Assembly,Passed
QC-00000049,PROD-00098822,2025-06-23,EMP-00473,1332,30,None,Passed
QC-00000050,PROD-00055661,2026-01-02,EMP-00287,1946,163,None,Failed
QC-00000051,PROD-00172514,2026-06-14,EMP-00198,2507,59,Material,Passed
QC-00000052,PROD-00249630,2025-03-30,EMP-00215,1233,28,Dimensional,Passed
QC-00000053,PROD-00166491,2025-04-24,EMP-00208,2143,47,None,Passed
QC-00000054,PROD-00154397,2025-08-01,EMP-00207,1719,47,Material,Passed
QC-00000055,PROD-00040797,2025-05-19,EMP-00495,2250,2,Assembly,Passed
QC-00000056,PROD-00160974,2024-11-05,EMP-00181,1662,17,Material,Passed
QC-00000057,PROD-00012557,2026-01-10,EMP-00195,1220,52,Material,Passed
QC-00000058,PROD-00105216,2026-03-15,EMP-00392,2128,141,Surface,Failed
QC-00000059,PROD-00109421,2025-09-16,EMP-00106,1029,54,Dimensional,Failed
QC-00000060,PROD-00243682,2025-07-10,EMP-00149,2782,48,None,Passed
QC-00000061,PROD-00194473,2026-03-29,EMP-00272,2639,225,Material,Failed
QC-00000062,PROD-00103935,2025-01-30,EMP-00087,1845,171,None,Failed
QC-00000063,PROD-00095148,2025-05-04,EMP-00448,2115,175,Material,Failed
QC-00000064,PROD-00159059,2025-10-18,EMP-00057,2110,190,None,Failed
QC-00000065,PROD-00170515,2025-09-04,EMP-00003,1030,44,Material,Passed
QC-00000066,PROD-00123756,2025-06-20,EMP-00210,1025,34,Material,Passed
QC-00000067,PROD-00292551,2024-09-03,EMP-00179,2778,98,Dimensional,Passed
QC-00000068,PROD-00193992,2024-11-02,EMP-00149,2460,245,Surface,Failed
QC-00000069,PROD-00225496,2025-06-03,EMP-00059,2437,179,Surface,Failed
QC-00000070,PROD-00268547,2026-02-08,EMP-00399,943,50,Dimensional,Failed
QC-00000071,PROD-00053695,2024-11-12,EMP-00213,2049,14,None,Passed
QC-00000072,PROD-00047081,2025-10-27,EMP-00307,692,34,None,Passed
QC-00000073,PROD-00249513,2025-05-03,EMP-00008,1222,91,None,Failed
QC-00000074,PROD-00297924,2025-05-22,EMP-00084,1133,94,Surface,Failed
QC-00000075,PROD-00290327,2025-01-17,EMP-00040,1053,102,Dimensional,Failed
QC-00000076,PROD-00275387,2026-06-08,EMP-00164,1997,151,Surface,Failed
QC-00000077,PROD-00045002,2025-05-03,EMP-00108,2077,175,None,Failed
QC-00000078,PROD-00268241,2025-03-24,EMP-00439,2341,105,Assembly,Passed
QC-00000079,PROD-00174635,2024-10-14,EMP-00435,1247,122,Assembly,Failed
QC-00000080,PROD-00121848,2026-05-21,EMP-00387,872,58,None,Failed
QC-00000081,PROD-00064307,2025-05-20,EMP-00264,1856,108,Material,Failed
QC-00000082,PROD-00223198,2025-08-03,EMP-00386,1086,103,Material,Failed
QC-00000083,PROD-00136947,2026-05-03,EMP-00013,581,28,Material,Passed
QC-00000084,PROD-00070997,2025-07-21,EMP-00449,2269,46,Assembly,Passed
QC-00000085,PROD-00168932,2025-06-07,EMP-00092,2333,81,None,Passed
QC-00000086,PROD-00229718,2024-11-20,EMP-00492,1215,13,None,Passed
QC-00000087,PROD-00269226,2026-05-20,EMP-00126,1845,180,None,Failed
QC-00000088,PROD-00183301,2024-10-15,EMP-00244,525,27,Surface,Failed
QC-00000089,PROD-00120092,2024-10-04,EMP-00341,1652,129,Assembly,Failed
QC-00000090,PROD-00295693,2025-05-22,EMP-00229,1545,98,None,Failed
QC-00000091,PROD-00247606,2024-10-20,EMP-00212,845,3,Surface,Passed
QC-00000092,PROD-00259306,2025-12-16,EMP-00462,2567,101,Dimensional,Passed
QC-00000093,PROD-00033032,2025-10-22,EMP-00206,634,34,Dimensional,Failed
QC-00000094,PROD-00114377,2025-04-26,EMP-00221,2976,40,Surface,Passed
QC-00000095,PROD-00287594,2026-04-22,EMP-00127,1441,19,Dimensional,Passed
QC-00000096,PROD-00145611,2025-12-25,EMP-00494,2935,154,Dimensional,Failed
QC-00000097,PROD-00150464,2025-10-07,EMP-00138,937,3,Assembly,Passed
QC-00000098,PROD-00278765,2026-03-30,EMP-00450,2422,105,Dimensional,Passed
QC-00000099,PROD-00290878,2024-12-05,EMP-00428,1029,76,Dimensional,Failed
QC-00000100,PROD-00040156,2025-07-16,EMP-00082,1289,45,Material,Passed
QC-00000101,PROD-00216373,2026-04-30,EMP-00304,533,39,Surface,Failed
QC-00000102,PROD-00279843,2024-11-17,EMP-00488,1378,102,Surface,Failed
QC-00000103,PROD-00174721,2025-07-26,EMP-00469,1503,63,Assembly,Passed
QC-00000104,PROD-00213367,2025-02-19,EMP-00202,2169,206,Assembly,Failed
QC-00000105,PROD-00061900,2026-04-03,EMP-00144,1924,179,Dimensional,Failed
QC-00000106,PROD-00257768,2025-01-10,EMP-00153,998,60,Dimensional,Failed
QC-00000107,PROD-00221872,2025-12-17,EMP-00407,1076,42,Assembly,Passed
QC-00000108,PROD-00271613,2025-04-08,EMP-00034,1094,75,Dimensional,Failed
QC-00000109,PROD-00208826,2025-09-13,EMP-00082,1145,38,None,Passed
QC-00000110,PROD-00259278,2025-05-20,EMP-00013,2646,200,Material,Failed
QC-00000111,PROD-00111594,2025-07-07,EMP-00466,1448,50,Dimensional,Passed
QC-00000112,PROD-00255113,2025-06-01,EMP-00267,1715,130,Dimensional,Failed
QC-00000113,PROD-00055538,2025-06-30,EMP-00124,2751,272,Dimensional,Failed
QC-00000114,PROD-00207785,2025-05-14,EMP-00433,1715,73,None,Passed
QC-00000115,PROD-00256224,2025-03-17,EMP-00456,923,3,Material,Passed
QC-00000116,PROD-00258042,2025-05-03,EMP-00022,787,70,Material,Failed
QC-00000117,PROD-00025686,2025-02-22,EMP-00332,1789,79,Assembly,Passed
QC-00000118,PROD-00227641,2025-06-17,EMP-00080,1300,68,None,Failed
QC-00000119,PROD-00201723,2025-06-25,EMP-00230,790,47,Surface,Failed
QC-00000120,PROD-00186616,2026-02-01,EMP-00364,930,67,None,Failed
QC-00000121,PROD-00111652,2026-06-23,EMP-00391,1666,61,Surface,Passed
QC-00000122,PROD-00166915,2025-10-11,EMP-00005,2060,54,Material,Passed
