production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2025-10-16,BATCH-00000001,PRD-002,LINE-03,M-003,EMP-00306,Night,1368,1139,1054,85,114,424,50585.45,9994.84,3887.25,Failed,False
PROD-00000002,2025-02-14,BATCH-00000002,PRD-001,LINE-05,M-007,EMP-00179,Morning,821,746,721,25,52,496,31685.77,14609.77,6383.36,Passed,False
PROD-00000003,2026-06-06,BATCH-00000003,PRD-006,LINE-01,M-002,EMP-00018,Night,1810,1711,1592,119,81,416,173530.56,12139.83,7585.24,Failed,False
PROD-00000004,2025-05-06,BATCH-00000004,PRD-005,LINE-04,M-009,EMP-00441,Morning,1208,1024,926,98,109,501,23940.13,9251.19,8661.08,Failed,True
PROD-00000005,2026-03-01,BATCH-00000005,PRD-010,LINE-01,M-007,EMP-00484,Morning,2680,2657,2619,38,171,568,174052.58,13098.68,6336.94,Passed,False
PROD-00000006,2025-07-02,BATCH-00000006,PRD-004,LINE-05,M-003,EMP-00283,Afternoon,2413,2395,2278,117,15,505,396303.14,14271.68,3496.96,Passed,False
PROD-00000007,2024-09-20,BATCH-00000007,PRD-008,LINE-05,M-019,EMP-00228,Morning,1068,1051,955,96,23,573,140275.73,13020.95,4807.86,Failed,True
PROD-00000008,2026-02-26,BATCH-00000008,PRD-002,LINE-04,M-001,EMP-00114,Night,792,582,556,26,9,585,23099.93,2376.26,4885.3,Passed,False
PROD-00000009,2024-12-06,BATCH-00000009,PRD-005,LINE-02,M-007,EMP-00078,Afternoon,2027,1789,1658,131,90,560,51773.15,13554.28,3880.04,Failed,False
PROD-00000010,2024-12-07,BATCH-00000010,PRD-010,LINE-05,M-012,EMP-00109,Morning,1888,1646,1594,52,32,524,102158.83,9770.14,2292.24,Passed,False
PROD-00000011,2026-06-06,BATCH-00000011,PRD-007,LINE-05,M-017,EMP-00438,Night,2135,2045,2001,44,57,369,142195.33,12901.22,5522.01,Passed,True
PROD-00000012,2025-11-28,BATCH-00000012,PRD-008,LINE-05,M-017,EMP-00421,Night,2211,2044,2021,23,62,452,391098.93,5705.0,1268.55,Passed,False
PROD-00000013,2025-02-22,BATCH-00000013,PRD-002,LINE-05,M-019,EMP-00220,Afternoon,2624,2522,2403,119,116,446,85775.07,2057.49,8637.86,Passed,False
PROD-00000014,2025-05-28,BATCH-00000014,PRD-008,LINE-02,M-017,EMP-00380,Night,1642,1474,1357,117,118,419,221690.54,11503.41,2793.88,Failed,False
PROD-00000015,2026-07-27,BATCH-00000015,PRD-009,LINE-05,M-005,EMP-00413,Afternoon,2993,2936,2881,55,67,454,977211.69,13054.79,2434.17,Passed,False
PROD-00000016,2024-10-13,BATCH-00000016,PRD-001,LINE-01,M-019,EMP-00045,Morning,1090,897,856,41,164,565,37190.74,6402.49,2103.21,Passed,False
PROD-00000017,2024-10-27,BATCH-00000017,PRD-008,LINE-03,M-017,EMP-00389,Morning,1500,1426,1412,14,177,471,256679.28,7161.3,6221.68,Passed,True
PROD-00000018,2026-01-22,BATCH-00000018,PRD-002,LINE-03,M-011,EMP-00202,Night,1583,1475,1445,30,65,569,48639.01,9347.27,1252.04,Passed,False
PROD-00000019,2025-09-07,BATCH-00000019,PRD-006,LINE-03,M-011,EMP-00228,Morning,2220,2060,1881,179,107,512,244452.19,7859.47,1334.28,Failed,False
PROD-00000020,2026-04-17,BATCH-00000020,PRD-007,LINE-04,M-011,EMP-00189,Morning,2620,2471,2358,113,164,520,162000.26,14067.65,4370.12,Passed,False
PROD-00000021,2025-04-15,BATCH-00000021,PRD-004,LINE-01,M-007,EMP-00226,Morning,2017,1800,1679,121,0,472,371138.73,2068.08,5932.21,Failed,False
PROD-00000022,2026-07-08,BATCH-00000022,PRD-010,LINE-01,M-017,EMP-00051,Night,2104,1987,1804,183,29,533,134753.0,5355.33,8890.48,Failed,False
PROD-00000023,2026-08-23,BATCH-00000023,PRD-001,LINE-05,M-015,EMP-00073,Night,1973,1939,1925,14,85,464,120615.65,5938.26,8220.68,Passed,True
PROD-00000024,2025-09-25,BATCH-00000024,PRD-007,LINE-02,M-005,EMP-00097,Night,1289,1288,1248,40,62,301,97332.23,3510.62,7768.86,Passed,False
PROD-00000025,2025-12-31,BATCH-00000025,PRD-009,LINE-05,M-007,EMP-00002,Night,838,728,699,29,137,328,178032.93,6756.26,8017.03,Passed,False
PROD-00000026,2025-07-06,BATCH-00000026,PRD-001,LINE-02,M-004,EMP-00115,Morning,1334,1216,1163,53,62,469,62828.26,2824.25,3286.28,Passed,False
PROD-00000027,2025-01-19,BATCH-00000027,PRD-010,LINE-03,M-011,EMP-00150,Afternoon,2387,2295,2152,143,68,312,114969.34,8296.91,3017.42,Failed,False
PROD-00000028,2025-07-13,BATCH-00000028,PRD-005,LINE-02,M-015,EMP-00193,Night,2301,2290,2182,108,30,543,53564.36,14832.58,6932.16,Passed,False
