production_id,production_date,batch_id,product_id,production_line,machine_id,operator_id,shift,planned_quantity,produced_quantity,good_quantity,defective_quantity,downtime_minutes,production_time_minutes,material_cost,labor_cost,energy_cost,quality_status,maintenance_required
PROD-00000001,2025-11-18,BATCH-00000001,PRD-005,LINE-01,M-012,EMP-00081,Night,1120,1072,1052,20,154,446,22996.72,6626.62,9740.43,Passed,False
PROD-00000002,2025-05-15,BATCH-00000002,PRD-003,LINE-02,M-010,EMP-00075,Afternoon,2484,2289,2106,183,60,490,819241.82,5819.89,3965.15,Failed,False
PROD-00000003,2025-04-11,BATCH-00000003,PRD-008,LINE-03,M-013,EMP-00189,Night,2353,2214,2078,136,159,502,380372.42,4513.8,5831.77,Failed,False
PROD-00000004,2026-05-24,BATCH-00000004,PRD-001,LINE-05,M-015,EMP-00033,Afternoon,1686,1605,1533,72,7,391,69186.61,8684.06,1923.58,Passed,False
PROD-00000005,2025-03-19,BATCH-00000005,PRD-006,LINE-04,M-008,EMP-00235,Night,2647,2549,2385,164,20,465,240511.11,5422.52,2788.75,Failed,False
PROD-00000006,2025-10-04,BATCH-00000006,PRD-009,LINE-05,M-014,EMP-00218,Afternoon,1937,1734,1577,157,124,586,478890.77,7579.9,4868.75,Failed,False
PROD-00000007,2025-07-28,BATCH-00000007,PRD-004,LINE-04,M-015,EMP-00132,Afternoon,1389,1167,1167,0,37,397,266580.86,2530.64,6308.16,Passed,False
PROD-00000008,2025-02-24,BATCH-00000008,PRD-001,LINE-01,M-018,EMP-00050,Afternoon,2754,2612,2357,255,32,302,155169.22,5377.61,9683.98,Failed,False
PROD-00000009,2025-04-13,BATCH-00000009,PRD-008,LINE-05,M-020,EMP-00474,Night,1473,1257,1255,2,80,452,272103.8,9051.4,6181.8,Passed,False
PROD-00000010,2025-10-20,BATCH-00000010,PRD-007,LINE-04,M-017,EMP-00232,Afternoon,2686,2535,2351,184,22,524,221411.8,9107.24,4048.19,Failed,True
PROD-00000011,2025-09-04,BATCH-00000011,PRD-002,LINE-05,M-010,EMP-00011,Night,930,915,827,88,52,596,30998.14,4608.45,2347.87,Failed,True
PROD-00000012,2024-10-12,BATCH-00000012,PRD-009,LINE-04,M-010,EMP-00138,Afternoon,1719,1685,1666,19,68,486,523932.55,7746.02,7506.69,Passed,False
PROD-00000013,2025-09-27,BATCH-00000013,PRD-006,LINE-03,M-016,EMP-00096,Afternoon,2704,2583,2533,50,64,428,281025.32,11270.35,4435.74,Passed,False
PROD-00000014,2025-02-13,BATCH-00000014,PRD-010,LINE-03,M-013,EMP-00194,Morning,1452,1388,1320,68,85,352,82369.54,11546.58,6836.49,Passed,False
PROD-00000015,2025-01-12,BATCH-00000015,PRD-003,LINE-03,M-013,EMP-00207,Night,1771,1737,1616,121,137,589,564535.74,13022.43,2785.64,Failed,False
PROD-00000016,2025-11-28,BATCH-00000016,PRD-006,LINE-05,M-005,EMP-00246,Morning,1682,1507,1362,145,70,404,134676.31,5571.66,6124.19,Failed,False
PROD-00000017,2025-05-10,BATCH-00000017,PRD-005,LINE-04,M-004,EMP-00273,Morning,534,330,320,10,15,470,7902.96,9837.77,8529.06,Passed,False
PROD-00000018,2026-05-10,BATCH-00000018,PRD-007,LINE-04,M-006,EMP-00461,Night,1720,1662,1596,66,58,514,127035.71,14907.32,3843.99,Passed,True
PROD-00000019,2024-09-21,BATCH-00000019,PRD-006,LINE-03,M-002,EMP-00040,Afternoon,2997,2768,2676,92,148,429,352074.27,4469.79,5294.08,Passed,False
